video_id,views,published,title,source
o2qIuOwcDYg,83,2026-02-26,GCP Interview Q2: Build Serverless Image Processing on GCP #Shorts,prod_tracker
XW79jpKmPqU,259,2026-02-26,Generative AI Interview Q4: Architecting Scalable GenAI Agentic Workflows on GCP #Shorts,prod_tracker
fvTQG9DDbO0,33,2026-02-26,Generative AI Interview Q4: Designing Fault-Tolerant AI for Long Conversations on GCP #Shorts,prod_tracker
nMgIaucvZkQ,187,2026-02-27,Generative AI Interview Q5: Google Cloud Gen AI Architecture Unpacked #Shorts,prod_tracker
UN8frnA495c,156,2026-02-28,Generative AI Interview Q6: Building GPT-Scale AI on Google Cloud #Shorts,prod_tracker
K0mK8MWYlM0,19,2026-03-01,Gen AI Search on GCP: Scalable Architecture Q&A #Shorts,prod_tracker
jz0yiB64rf4,8,2026-03-01,GCP Q9: Model Governance on Vertex AI & Assured Workloads #Shorts,prod_tracker
EJO1eGuNlXc,6,2026-03-02,GCP Q10: Real-time AI Security with Vertex AI & Gemini #Shorts,prod_tracker
oq39IxGI-AM,289,2026-03-02,Generative AI Interview Q11: Billion-Scale RAG for Financial Insights #Shorts,prod_tracker
z4EA1EN62Ek,187,2026-03-02,10M Token Context in Agentic AI: How? #Shorts,prod_tracker
wOK9fQeYbT0,77,2026-03-03,Q13: Long-Running Agent Deadlock Recovery,prod_tracker
wus6LpM03Jg,4,2026-03-04,GCP Agent Fleet: 10K+ Concurrent Users #Shorts,prod_tracker
8F9unQnnTGg,15,2026-03-05,Scale 1M Agent Sessions: Vertex AI Caching w/ Redis #Shorts,prod_tracker
MjRKq658KVU,34,2026-03-06,Generative AI Interview Q17: Multimodal RAG with Vertex AI #Shorts,prod_tracker
OPn0Li4yEMU,10,2026-03-07,MCP-Memory Bank: Hybrid AI Storage #Shorts,prod_tracker
qICBd5o-dVY,68,2026-03-08,AI Agents Q19: Automate Complex Report Generation #Shorts,prod_tracker
_m2Ft8VPCbA,63,2026-03-09,Generative AI Interview Q20: Fine-tune Gemini 3.1 for LLM Eval #Shorts,prod_tracker
1QcCmZ3G5j0,74,2026-03-10,AI Agents Q21: High-Value Txn Approval #Shorts,prod_tracker
j6sKNaoLwbo,16,2026-03-11,AI Observability for 50K Agents #Shorts,prod_tracker
x6EaBPTEesY,127,2026-03-13,AI Subagent Mastery: Multi-Source Data Synthesis #Shorts,prod_tracker
r0fG0P0wDvM,22,2026-03-18,Agent as a Service on GCP: Scalable AI Design #Shorts,prod_tracker
AvSgS5WmBW8,36,2026-03-22,Generative AI Interview Q25: Mastering Multi-Agent System Prompts #Shorts,prod_tracker
tKYVHzKoAe0,16,2026-03-23,Evaluating AI Agents with Galileo: STOP GUESSING AI AGENT PERF! #Shorts,prod_tracker
SVDnA6pQX_8,100,2026-04-05,agentic-ai Interview Q26: Multi-Agent Handoff Mastery #Shorts,prod_tracker
-CJDHUrtWu4,35,,Ace Your AI Interview: Vector Embeddings Fraud Detection (36s),channel_only
IPygQ24bTOw,7,,GenAI Interview Q3: Scalable Agentic AI on GCP (36s),channel_only
L9ywsZtGPfQ,40,,Agentic AI Customer Support (35s),channel_only
MchOtL38q_I,7,,RAG Eval Pipeline (41s),channel_only
Xr6PZr84wZo,11,,GCP Q26: Agentic AI Evaluation (36s),channel_only
bHlYhL2sCus,14,,How much code to fine-tune an AI model (97s),channel_only
iLZjlNJkApU,40,,GenAI Interview: Agentic Content Creation (33s),channel_only
kW6e9-x6CVE,8,,GenAI Q3: Agentic AI Customer Support (37s),channel_only
AXGdSFFNS_w,2,2026-07-28,TokenTelemetry long-form 3:05,channel_long
0ZFZ3VQGIo8,,,,DELETED_OR_PRIVATE
96VztG-zLTc,,,,DELETED_OR_PRIVATE
9bRiEGXK6gk,,,,DELETED_OR_PRIVATE
9YOrHz39I3o,,,,DELETED_OR_PRIVATE
LLVB2vvgU0I,,,,DELETED_OR_PRIVATE
SHEru17YQjA,,,,DELETED_OR_PRIVATE
pyqeHXj0SHg,,,,DELETED_OR_PRIVATE
R8vXB3hcPrM,,,,DELETED_OR_PRIVATE
UihZbkd43oU,,,,DELETED_OR_PRIVATE
ok2UeWhUBIg,,,,DELETED_OR_PRIVATE
gu9GGFxt9ME,,,,DELETED_OR_PRIVATE
uctQX27Qa9Q,,,,DELETED_OR_PRIVATE
